No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
1,3,1전선,HBCD0001,취업과창업(글로벌인문학부대학 ),1,1.0,0.0,,토11(Y102),1,유진현,nan
1,1,1전선,HBHI0004,글로벌시대의인문학,2,2.0,0.0,,"목2,3(E106)",1,"박주은,양동국","글로벌지역학부 1,6 분반만 신청, 이중설강제 선정교과목"
2,1,1전선,HBHI0004,글로벌시대의인문학,2,2.0,0.0,,"목2,3(E503)",2,"윤태희,정의진","글로벌지역학부 2,3 분반만 신청, 이중설강제 선정교과목"
3,1,1전선,HBHI0004,글로벌시대의인문학,2,2.0,0.0,,"목2,3(E402)",3,"박정희,최종술","글로벌지역학부 4,5 분반만 신청, 이중설강제 선정교과목"
1,1,1전선,HBHA1011,한국어학의이해,3,3.0,0.0,,"수1,2,3(E502)",1,전정미,nan
2,1,1전선,HBHA2192,한국현대시의이해,3,3.0,0.0,,"수5,6,7(E502)",1,김지윤,nan
3,2,1전선,HBHA3011,한국현대소설의이해,3,3.0,0.0,,"월5,6,7(E502)",1,김한식,nan
4,2,1전선,HBHA3241,한국고전서사와문화콘텐츠,3,3.0,0.0,,"수6,7,8(I110)",1,이희영,nan
5,2,1전선,HBHA4389,한국어어휘교육론,3,3.0,0.0,,"수1,2,3(I109)",1,"양영하,한정희",nan
6,2,1전심,HBHA4394,AI 시대의 시 감상과 뉴미디어 표현,3,1.0,2.0,,"목3,4,5(C301)",1,김지윤,nan
7,3,1전선,HBHA2141,한국어발음교육론,3,3.0,0.0,,"화5,6,7(E502)",1,한정희,nan
8,3,1전선,HBHA3272,한국문학과세계문학,3,3.0,0.0,,"목1,2,3(I110)",1,김한식,nan
9,3,1전심,HBHA2161,한국어한자교육론,3,3.0,0.0,,"목1,2,3(E502)",1,이희영,nan
10,3,1전심,HBHA3231,한국어이해교육론,3,3.0,0.0,,"화1,2,3(E502)",1,전정미,nan
11,3,1전심,HBHA4375,응용언어학,3,3.0,0.0,,"금3,4,5(E502)",1,송인성,nan
12,4,1전선,HBHA4382,문예창작실습,2,0.0,2.0,,"수3,4(E106)",1,김지윤,nan
13,4,1전선,HBHA4391,한국어의미론,3,3.0,0.0,,"월2,3,4(E502)",1,전정미,nan
14,4,1전심,HBHA4383,한국문화교육론,3,3.0,0.0,,"월5,6,7(I106)",1,이희영,nan
15,전체,교선,HBLA5004,AI시대의호모로퀜스(말하는인간 ),3,3.0,0.0,균형(인문),"월9,10,11(Z201)",1,전정미,E-러닝 교과목/3-4학년만 수강가능
